filiere_id,filiere_libelle,cod_aff_form,effectif_total_demandé,effectif_total_candidats,effectif_total_candidates,effectif_total_accepte,effectif_total_admis,effectif_total_admises,general,techno,pro,autre,capacite
1377,BUT - Carrières juridiques (Seconde année en apprentissage),35179,1437,228,1209,34,4,30,10,18,2,4,36
2718,BUT - Mesures physiques,4099,2322,1779,543,114,92,22,62,20,0,32,102
1377,BUT - Carrières juridiques (Seconde année en apprentissage),36064,372,74,298,19,5,14,11,4,0,4,25
857,BUT - Carrières juridiques,7130,3580,876,2704,177,45,132,60,86,0,31,183
209,BUT - Carrières sociales Parcours animation sociale et socioculturelle,7111,1132,217,915,54,6,48,4,16,0,34,66
2349,BUT - Carrières sociales Parcours éducation spécialisée,7114,909,131,778,81,12,69,16,25,0,40,79
1817,BUT - Carrières sociales parcours villes et territoires durables,7115,349,119,230,22,13,9,10,2,0,10,32
2296,BUT - Chimie,6885,1237,504,733,71,31,40,41,12,0,18,90
679,BUT - Génie biologique parcours biologie médicale et biotechnologie,6892,2692,742,1950,41,13,28,17,19,0,5,42
494,BUT - Génie biologique Parcours diététique et nutrition,6890,1244,275,969,22,4,18,7,6,0,9,23
3512,BUT - Génie biologique parcours sciences de l'aliment et biotechnologie,6891,1110,385,725,30,8,22,13,6,0,11,46
984,BUT - Génie électrique et informatique industrielle,6886,986,893,93,68,62,6,29,12,0,27,86
428,BUT - Génie mécanique et productique (Seconde année possible en apprentissage),6887,1353,1221,132,77,75,2,32,32,0,13,88
3304,BUT - Gestion des entreprises et des administrations,6894,4213,2234,1979,166,82,84,73,72,1,20,173
1722,BUT - Information communication Parcours communication des organisations,7112,1408,333,1075,56,14,42,23,18,0,15,58
1549,BUT - Information communication Parcours métiers du livre et du patrimoine,7113,404,54,350,16,0,16,8,2,0,6,16
2326,BUT - Informatique,6888,1951,1792,159,133,127,6,55,58,0,20,135
116,BUT - Management de la Logistique et des Transports,7110,638,486,152,62,50,12,24,22,4,12,80
1156,BUT - Mesures physiques (Seconde année possible en apprentissage),6889,944,720,224,48,37,11,28,7,0,13,84
1300,BUT - Statistique et informatique décisionnelle,7128,728,601,127,73,58,15,33,8,0,32,80
1218,BUT - Techniques de commercialisation,7129,4194,2223,1971,187,72,115,86,88,0,13,183
3389,BUT - Génie civil - Construction durable,6089,1457,1162,295,129,105,24,70,46,0,13,130
858,BUT - Génie mécanique et productique,6090,638,578,60,51,47,4,27,16,0,8,52
3304,BUT - Gestion des entreprises et des administrations,6094,1776,892,884,135,62,73,53,61,0,21,135
2326,BUT - Informatique,6091,1463,1324,139,119,115,4,69,24,0,26,120
116,BUT - Management de la Logistique et des Transports,6095,477,372,105,55,46,9,20,17,2,16,56
2718,BUT - Mesures physiques,6092,530,409,121,26,17,9,17,3,0,6,50
2566,"BUT - Packaging, emballage et conditionnement",6093,337,149,188,43,15,28,25,8,0,10,50
1218,BUT - Techniques de commercialisation,6096,2161,1101,1060,117,43,74,38,58,4,17,106
2326,BUT - Informatique,8901,1586,1445,141,111,101,10,43,54,0,14,105
209,BUT - Carrières sociales Parcours animation sociale et socioculturelle,4871,645,152,493,54,16,38,12,17,0,25,52
679,BUT - Génie biologique parcours biologie médicale et biotechnologie,4868,1700,468,1232,55,19,36,29,19,0,7,50
494,BUT - Génie biologique Parcours diététique et nutrition,4866,758,187,571,27,4,23,10,4,0,13,23
1419,BUT - Génie biologique parcours sciences de l'environnement et écotechnologies,4867,712,365,347,27,9,18,17,8,0,2,23
984,BUT - Génie électrique et informatique industrielle,4865,895,836,59,78,73,5,39,20,0,19,88
3304,BUT - Gestion des entreprises et des administrations,4869,3205,1630,1575,159,80,79,83,63,0,13,132
